ticker,category,field,fetched_value,source_url,exact_item_to_verify,suggested_action,reviewer_input,reviewer_note,reviewed_yes_no,source_excerpt,source_document,source_accession,source_page_or_section,suggested_reviewer_input,confidence,remaining_question
LSCC,share_price,share_price_usd,142.86,https://stockanalysis.com/stocks/lscc/history/,Confirm LSCC closed at $142.86 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $142.86; cross-check shows Jun 12 price ~$131.03 — possible gap-up on Jun 11 but not confirmed","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11","142.86 (unconfirmed — verify independently)",LOW,"Cross-check shows adjacent day data at ~$131; verify Jun 11 $142.86 against Yahoo Finance history directly"
MTSI,share_price,share_price_usd,374.76,https://stockanalysis.com/stocks/mtsi/history/,Confirm MTSI closed at $374.76 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"Web search confirms: 'MACOM shares rose 5.7% to a current price of $374.76' on 2026-06-11","stockanalysis.com confirmed by web search",,"Historical price table - 2026-06-11",374.76,HIGH,
SLAB,share_price,share_price_usd,218.9,https://stockanalysis.com/stocks/slab/history/,Confirm SLAB closed at $218.9 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $218.90; not independently cross-checked","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",218.9,MEDIUM,Not cross-checked against second source; verify via Yahoo Finance
SYNA,share_price,share_price_usd,136.08,https://stockanalysis.com/stocks/syna/history/,Confirm SYNA closed at $136.08 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $136.08; not independently cross-checked","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",136.08,MEDIUM,Not cross-checked against second source; verify via Yahoo Finance
RMBS,share_price,share_price_usd,144.47,https://stockanalysis.com/stocks/rmbs/history/,Confirm RMBS closed at $144.47 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $144.47; not independently cross-checked","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",144.47,MEDIUM,Not cross-checked against second source; verify via Yahoo Finance
CRUS,share_price,share_price_usd,162.93,https://stockanalysis.com/stocks/crus/history/,Confirm CRUS closed at $162.93 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $162.93; not independently cross-checked","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",162.93,MEDIUM,Not cross-checked; also see CRUS sti_data_quality row below
ALGM,share_price,share_price_usd,47.96,https://stockanalysis.com/stocks/algm/history/,Confirm ALGM closed at $47.96 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $47.96; not independently cross-checked","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",47.96,MEDIUM,Not cross-checked against second source; verify via Yahoo Finance
POWI,share_price,share_price_usd,77.76,https://stockanalysis.com/stocks/powi/history/,Confirm POWI closed at $77.76 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $77.76; not independently cross-checked","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",77.76,MEDIUM,Not cross-checked against second source; verify via Yahoo Finance
SMTC,share_price,share_price_usd,163.57,https://stockanalysis.com/stocks/smtc/history/,Confirm SMTC closed at $163.57 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $163.57; not independently cross-checked","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",163.57,MEDIUM,Not cross-checked against second source; verify via Yahoo Finance
AMBA,share_price,share_price_usd,65.8,https://stockanalysis.com/stocks/amba/history/,Confirm AMBA closed at $65.80 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $65.80; not independently cross-checked. Also see AMBA sti_data_quality correction row.","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",65.8,MEDIUM,Not cross-checked against second source; verify via Yahoo Finance
MXL,share_price,share_price_usd,81.09,https://stockanalysis.com/stocks/mxl/history/,Confirm MXL closed at $81.09 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $81.09; not independently cross-checked","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",81.09,MEDIUM,Not cross-checked against second source; verify via Yahoo Finance
SITM,share_price,share_price_usd,721.24,https://stockanalysis.com/stocks/sitm/history/,Confirm SITM closed at $721.24 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $721.24; second source search shows Jun 11 2026 range $670.87-$736.00 — $721.24 is within range","stockanalysis.com (Yahoo Finance data); plausible via second source",,"Historical price table - 2026-06-11",721.24,MEDIUM,"Within plausible intra-day range; not exact second-source match — verify via Yahoo Finance history"
CRDO,share_price,share_price_usd,264.76,https://stockanalysis.com/stocks/crdo/history/,Confirm CRDO closed at $264.76 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $264.76; Macrotrends cross-check showed $263.66 — delta $1.10 (0.4%); consistent","stockanalysis.com confirmed by Macrotrends cross-check",,"Historical price table - 2026-06-11",264.76,HIGH,
ALAB,share_price,share_price_usd,"CORRECTED to $337.99 (was $367.47)",https://stockanalysis.com/stocks/alab/history/,"Confirm ALAB closed at $337.99 on 2026-06-11. NOTE: stockanalysis.com returned $367.47 which was WRONG — web search confirmed range $334.75-$342.00 and close ~$337.99 on 2026-06-11 (ATH of $372.37 was 2026-06-03).",Enter confirmed price in reviewer_input; use $337.99 unless Yahoo Finance history shows a different close,,,,"CORRECTED: stockanalysis.com $367.47 was wrong. Web search confirms Jun 11 2026: range $334.75-$342.00; close $337.99. ATH $372.37 was June 3 — $367.47 on Jun 11 would be implausibly close to ATH.","stockanalysis.com (wrong); web search (corrected)",,"Historical price table - 2026-06-11","337.99 (corrected from $367.47)",HIGH,"Verify $337.99 against Yahoo Finance history before accepting; original value was wrong by ~8.7%"
LSCC,debt_verify_zero,total_debt_usd_k,NULL (no XBRL tag resolved),https://www.sec.gov/Archives/edgar/data/855658/000143774926014686/0001437749-26-014686-index.htm,"Open Q1 FY26 10-Q (ended 2026-04-04) balance sheet → 'Long-term debt (current + noncurrent)' line. Confirm value is $0 or confirm the actual dollar amount.","If $0: enter 0 in reviewer_input and set reviewed_yes_no=Y. If non-zero: enter the balance-sheet amount in reviewer_input and note the line item name.",,,,"Last XBRL tag: LongTermDebtNoncurrent=$0 as of 2023-12-30 (Q4 FY2023 10-K). No debt tags appear in any 2024 or 2025 XBRL filing — companies typically stop tagging zero-value lines. Prior LongTermDebt=$150M was retired (end date 2022-07-02).","Q4 FY2023 10-K (last period with debt tag)","0001437749-24-004522","Balance Sheet / XBRL instant — last tagged value",0,MEDIUM,"Last explicit zero was Dec 2023; no tag in 2024-2026. Verify Q1 FY26 10-Q shows $0 long-term debt and no new revolving draw."
SLAB,debt_verify_zero,total_debt_usd_k,NULL (no XBRL tag resolved),https://www.sec.gov/Archives/edgar/data/1038074/000103807426000020/0001038074-26-000020-index.htm,"Open Q1 FY26 10-Q (ended 2026-04-04) balance sheet → 'Long-term debt and convertible notes (noncurrent + current)' line. Confirm value is $0 or confirm the actual dollar amount.","If $0: enter 0 in reviewer_input and set reviewed_yes_no=Y. If non-zero: enter the balance-sheet amount in reviewer_input and note the line item name.",,,,"LinesOfCreditCurrent=$0 as of 2024-12-28 (FY2025 10-K). Prior ConvertibleDebtCurrent=$530,096k as of 2023-04-01 — those converts matured and were retired in 2023. No new debt issuance in XBRL cash flows. FY2025 10-K shows undrawn revolving credit line ($0).","FY2025 10-K (ended 2024-12-28)","0001038074-25-000003","Balance Sheet / XBRL instant",0,MEDIUM,"Revolving line confirmed $0 in FY2025 annual. Verify Q1 FY26 10-Q (Apr 4 2026) balance sheet shows no new debt drawn or issued since Jan 3 2026."
RMBS,debt_verify_zero,total_debt_usd_k,NULL (no XBRL tag resolved),https://www.sec.gov/Archives/edgar/data/917273/000119312526186931/0001193125-26-186931-index.htm,"Open Q1 2026 10-Q (ended 2026-03-31) balance sheet → 'Long-term debt (noncurrent + current)' line. Confirm value is $0 or confirm the actual dollar amount.","If $0: enter 0 in reviewer_input and set reviewed_yes_no=Y. If non-zero: enter the balance-sheet amount in reviewer_input and note the line item name.",,,,"ConvertibleNotesPayable=$0 as of 2023-09-30; ConvertibleNotesPayableCurrent=$0 as of 2023-12-31 (Q4 2023 10-K). Both zero — Rambus is a licensing company that has carried no financial debt in recent years. No debt tags in 2024 or 2025 filings.","Q4 2023 10-K (last period with debt tags)","0000917273-24-000028","Balance Sheet / XBRL instant — last tagged value",0,HIGH,"Strongly debt-free per XBRL history. Verify Q1 2026 10-Q (Mar 31 2026) shows $0 long-term debt line."
CRUS,debt_verify_zero,total_debt_usd_k,NULL (no XBRL tag resolved),https://www.sec.gov/Archives/edgar/data/772406/000077240626000018/0000772406-26-000018-index.htm,"Open Q4 FY26 10-K (ended 2026-03-28) balance sheet → 'Long-term debt (noncurrent + current)' line. Confirm value is $0 or confirm the actual dollar amount.","If $0: enter 0 in reviewer_input and set reviewed_yes_no=Y. If non-zero: enter the balance-sheet amount in reviewer_input and note the line item name.",,,,"LineOfCredit=$0 as of 2026-03-28 (CURRENT FILING — FY2026 10-K). Confirmed directly in the most recent annual filing. Revolving credit facility is undrawn. No term loans or notes.","FY2026 10-K (ended 2026-03-28) — CURRENT FILING","0000772406-26-000018","Balance Sheet / XBRL instant — current filing",0,HIGH,"Confirmed $0 revolving credit directly in FY2026 10-K. No remaining questions."
POWI,debt_verify_zero,total_debt_usd_k,NULL (no XBRL tag resolved),https://www.sec.gov/Archives/edgar/data/833640/000083364026000078/0000833640-26-000078-index.htm,"Open Q1 2026 10-Q (ended 2026-03-31) balance sheet → 'Long-term debt (noncurrent + current)' line. Confirm value is $0 or confirm the actual dollar amount.","If $0: enter 0 in reviewer_input and set reviewed_yes_no=Y. If non-zero: enter the balance-sheet amount in reviewer_input and note the line item name.",,,,"LinesOfCreditCurrent=$0 as of 2025-12-31 (FY2025 10-K annual). Power Integrations consistently debt-free; no term loans or notes in XBRL history.","FY2025 10-K (ended 2025-12-31)","0000833640-26-000037","Balance Sheet / XBRL instant",0,HIGH,"FY2025 annual shows $0 credit line. Verify Q1 2026 10-Q (Mar 31 2026) for any changes."
AMBA,debt_verify_zero,total_debt_usd_k,NULL (no XBRL tag resolved),https://www.sec.gov/Archives/edgar/data/1280263/000119312526253198/0001193125-26-253198-index.htm,"Open Q1 FY27 10-Q (ended 2026-04-30) balance sheet → 'Long-term debt (noncurrent + current)' line. Confirm value is $0 or confirm the actual dollar amount.","If $0: enter 0 in reviewer_input and set reviewed_yes_no=Y. If non-zero: enter the balance-sheet amount in reviewer_input and note the line item name.",,,,"No debt XBRL tags resolved for AMBA in any filing period — the company has never tagged a positive debt balance in its EDGAR XBRL history. Ambarella is known to be debt-free.","No debt tags in EDGAR XBRL history",,,"Balance Sheet / XBRL — no tags present",0,MEDIUM,"No XBRL debt tags at all for AMBA. Verify Q1 FY27 10-Q (Apr 30 2026) balance sheet explicitly shows $0 long-term debt."
LSCC,sti_verify_zero,sti_usd_k,0.0 (XBRL returned literal zero),https://www.sec.gov/Archives/edgar/data/855658/000143774926014686/0001437749-26-014686-index.htm,"Open Q1 FY26 10-Q (ended 2026-04-04) balance sheet → 'Short-term investments / marketable securities (current)' line. Confirm the balance is $0.","If $0 confirmed: set reviewed_yes_no=Y, reviewer_input=0. If non-zero: enter actual amount in reviewer_input.",,,,"MarketableSecuritiesCurrent=$0 as of 2019-12-28 (last tagged value). Lattice has not held short-term investment securities since ~2019.","FY2019 10-K (last period with STI tag)","0000855658-20-000025","Balance Sheet / XBRL instant — last tagged value",0,MEDIUM,"Last zero tag is from 2019. Verify Q1 FY26 10-Q (Apr 4 2026) shows no current investment securities."
